Category ID,Category name,UNIX time,Date (America/Toronto HAE),Text
18,"ant-33",1679057073,"17 mars 2023 (ven.) 08:44:33","kss_prepretest"
18,"ant-33",1679057106,"17 mars 2023 (ven.) 08:45:06","ant_prettest"
18,"ant-33",1679057634,"17 mars 2023 (ven.) 08:53:54","kss_midpretest"
18,"ant-33",1679057664,"17 mars 2023 (ven.) 08:54:24","ospan_pretest"
18,"ant-33",1679058828,"17 mars 2023 (ven.) 09:13:48","kss_postpretest"
18,"ant-33",1679058859,"17 mars 2023 (ven.) 09:14:19","axcpt"
18,"ant-33",1679059587,"17 mars 2023 (ven.) 09:26:27","kss1"
18,"ant-33",1679060071,"17 mars 2023 (ven.) 09:34:31","kss2"
18,"ant-33",1679060552,"17 mars 2023 (ven.) 09:42:32","kss3"
18,"ant-33",1679060578,"17 mars 2023 (ven.) 09:42:58","intervention_nature"
18,"ant-33",1679061113,"17 mars 2023 (ven.) 09:51:53","kss4"
18,"ant-33",1679061580,"17 mars 2023 (ven.) 09:59:40","kss5"
18,"ant-33",1679061658,"17 mars 2023 (ven.) 10:00:58","ant_posttest"
18,"ant-33",1679062168,"17 mars 2023 (ven.) 10:09:28","kss_midposttest"
18,"ant-33",1679062201,"17 mars 2023 (ven.) 10:10:01","ospan_posttest"
18,"ant-33",1679063072,"17 mars 2023 (ven.) 10:24:32",""
