Category ID,Category name,UNIX time,Date (America/Toronto HAE),Text
2,"37",1679687432,"24 mars 2023 (ven.) 15:50:32","KSS pré-prétest"
2,"37",1679687478,"24 mars 2023 (ven.) 15:51:18","ANT prétest"
2,"37",1679688001,"24 mars 2023 (ven.) 16:00:01","KSS mid-prétest"
2,"37",1679688040,"24 mars 2023 (ven.) 16:00:40","OSPAN posttest"
2,"37",1679689561,"24 mars 2023 (ven.) 16:26:01","KSS post-prétest"
2,"37",1679689591,"24 mars 2023 (ven.) 16:26:31","AX-CPT"
2,"37",1679690313,"24 mars 2023 (ven.) 16:38:33","KSS 1"
2,"37",1679690822,"24 mars 2023 (ven.) 16:47:02","KSS 2"
2,"37",1679691303,"24 mars 2023 (ven.) 16:55:03","KSS 3"
2,"37",1679691351,"24 mars 2023 (ven.) 16:55:51","Intervention nature"
2,"37",1679691873,"24 mars 2023 (ven.) 17:04:33","KSS 4"
2,"37",1679692307,"24 mars 2023 (ven.) 17:11:47","KSS 5"
2,"37",1679692352,"24 mars 2023 (ven.) 17:12:32","OSPAN posttest"
2,"37",1679693532,"24 mars 2023 (ven.) 17:32:12","KSS mid posttest"
2,"37",1679693564,"24 mars 2023 (ven.) 17:32:44","ANT posttest"
2,"37",1679694068,"24 mars 2023 (ven.) 17:41:08","KSS post-posttest"
