Category ID,Category name,UNIX time,Date (America/Toronto HAE),Text
5,"43",1682085964,"21 avr. 2023 (ven.) 10:06:04","KSS pré-pretest"
5,"43",1682086042,"21 avr. 2023 (ven.) 10:07:22","ANT Pretest"
5,"43",1682086567,"21 avr. 2023 (ven.) 10:16:07","KSS Mid-pretest"
5,"43",1682086614,"21 avr. 2023 (ven.) 10:16:54","OSPAN pretest"
5,"43",1682087723,"21 avr. 2023 (ven.) 10:35:23","KSS Post-prétest"
5,"43",1682087752,"21 avr. 2023 (ven.) 10:35:52","AX-CPT"
5,"43",1682088474,"21 avr. 2023 (ven.) 10:47:54","kss1"
5,"43",1682088973,"21 avr. 2023 (ven.) 10:56:13","KSS2"
5,"43",1682089455,"21 avr. 2023 (ven.) 11:04:15","KSS3"
5,"43",1682089484,"21 avr. 2023 (ven.) 11:04:44","Intervention nature"
5,"43",1682089997,"21 avr. 2023 (ven.) 11:13:17","KSS4"
5,"43",1682090424,"21 avr. 2023 (ven.) 11:20:24","KSS5"
5,"43",1682090452,"21 avr. 2023 (ven.) 11:20:52","OSPAN Posttest"
5,"43",1682091381,"21 avr. 2023 (ven.) 11:36:21","KSS mid posttest"
5,"43",1682091410,"21 avr. 2023 (ven.) 11:36:50","ANT Posttest"
5,"43",1682091923,"21 avr. 2023 (ven.) 11:45:23","KSS Postposttest"
