Category ID,Category name,UNIX time,Date (America/Toronto HAE),Text
21,"ant-39",1680292885,"31 mars 2023 (ven.) 16:01:25","kss_prepretest"
21,"ant-39",1680292920,"31 mars 2023 (ven.) 16:02:00","ospan_pretest"
21,"ant-39",1680294033,"31 mars 2023 (ven.) 16:20:33","kss_mid_pretest"
21,"ant-39",1680294059,"31 mars 2023 (ven.) 16:20:59","ant_pretest"
21,"ant-39",1680294580,"31 mars 2023 (ven.) 16:29:40","kss_post_pretest"
21,"ant-39",1680294609,"31 mars 2023 (ven.) 16:30:09","ax-cpt"
21,"ant-39",1680295429,"31 mars 2023 (ven.) 16:43:49","kss1"
21,"ant-39",1680295914,"31 mars 2023 (ven.) 16:51:54","kss2"
21,"ant-39",1680296407,"31 mars 2023 (ven.) 17:00:07","kss3"
21,"ant-39",1680296469,"31 mars 2023 (ven.) 17:01:09","intervention_nature"
21,"ant-39",1680296983,"31 mars 2023 (ven.) 17:09:43","kss3"
21,"ant-39",1680297354,"31 mars 2023 (ven.) 17:15:54","kss4"
21,"ant-39",1680297388,"31 mars 2023 (ven.) 17:16:28","ant_posttest "
21,"ant-39",1680297900,"31 mars 2023 (ven.) 17:25:00","kss_midposttest"
21,"ant-39",1680297930,"31 mars 2023 (ven.) 17:25:30","ospan_posttest"
21,"ant-39",1680298784,"31 mars 2023 (ven.) 17:39:44","kss_postpostest "
